dataset,variable
opex_cantabSWM,swmpr
opex_cantabSWM,swms
opex_cantabSWM,swmte
opex_cantabSWM,swmte4
opex_cantabSWM,swmte6
opex_cantabSWM,swmte8
opex_cantabSWM,swmwe
opex_cantabSWM,swmwe4
opex_cantabSWM,swmwe6
opex_cantabSWM,swmwe8
opex_dass,anxiety
opex_dass,depression
opex_dass,stress
opex_dass,total
opex_dexa,ag_ratio
opex_dexa,age
opex_dexa,bmc
opex_dexa,bmd
opex_dexa,bmi
opex_dexa,fatmass
opex_dexa,fm_h2
opex_dexa,gynoid_fm
opex_dexa,leanmass
opex_dexa,lhip_bmc
opex_dexa,lhip_bmd
opex_dexa,lhip_tscore
opex_dexa,lhip_zscore
opex_dexa,percentbodyfat
opex_dexa,totalmass
opex_dexa,wb_tscore
opex_dexa,wb_zscore
opex_fmri,accproportions_bind_3
opex_fmri,accproportions_bind_5
opex_fmri,accproportions_loc_3
opex_fmri,accproportions_loc_5
opex_fmri,accproportions_obj_3
opex_fmri,accproportions_obj_5_
opex_fmri,age
opex_fmri,beta_bind_3
opex_fmri,beta_bind_5
opex_fmri,beta_loc_3
opex_fmri,beta_loc_5
opex_fmri,beta_obj_3
opex_fmri,beta_obj_5
opex_fmri,c_bind_3
opex_fmri,c_bind_5
opex_fmri,c_loc_3
opex_fmri,c_loc_5
opex_fmri,c_obj_3
opex_fmri,c_obj_5
opex_fmri,d_bind_3
opex_fmri,d_bind_5
opex_fmri,d_loc_3
opex_fmri,d_loc_5
opex_fmri,d_obj_3
opex_fmri,d_obj_5
opex_fmri,rtmean_bind_3
opex_fmri,rtmean_bind_5
opex_fmri,rtmean_loc_3
opex_fmri,rtmean_loc_5
opex_fmri,rtmean_obj_3
opex_fmri,rtmean_obj_5
opex_fmri,rtsd_bind_3
opex_fmri,rtsd_bind_5
opex_fmri,rtsd_loc_3
opex_fmri,rtsd_loc_5
opex_fmri,rtsd_obj_3
opex_fmri,rtsd_obj_5
opex_godin,age
opex_godin,total
opex_insomnia,age
opex_insomnia,total
opex_ipaq,moderate_days
opex_ipaq,moderate_time
opex_ipaq,mvpa
opex_ipaq,pa
opex_ipaq,sitting
opex_ipaq,vigorous_days
opex_ipaq,vigorous_time
opex_ipaq,walking_days
opex_ipaq,walking_time
opex_psqi,age
opex_psqi,c1
opex_psqi,c2
opex_psqi,c3
opex_psqi,c4
opex_psqi,c5
opex_psqi,c6
opex_psqi,c7
opex_psqi,total
